id,category,product_surface,current_copy,option_A,option_B,preferred (A/B/tie),why (optional)
8c8a511c-167a-5a7c-852b-b2c2f237979b,system_error,work app,System failure 503.,We're having trouble connecting. Try again in a moment.,We're having trouble signing you in. Try again in a moment.,,
3a451b9e-4385-56ef-8555-bad4476866c3,system_error,file upload,Upload exception.,Upload failed. Check your connection and try again.,Upload failed. Check your connection and try again.,,
03b70045-3d07-517c-a874-096788ca343d,onboarding,email client,Add account.,Connect your email to start sending and receiving messages.,Connect your email to start receiving messages here.,,
93e970e7-1fd4-5df0-ae77-7780d79f3adb,button,reader mode,See it,Read article,Read without distractions,,
2003b341-f90d-5d54-bc84-83cc8d60cdaf,onboarding,setup checklist,Configure your operational parameters.,Set up your preferences to get started.,Set up your preferences,,
5fb3f28b-e961-5edb-af4e-a7a017c525ea,onboarding,new workspace setup,Set everything up now.,"Invite teammates, connect tools, and set preferences — or skip and add them later.","Invite your team, or skip this and add members later.",,
2502e0c1-4804-5e1b-85ab-faf5060ca029,inline_error,upload form,Not allowed,File too large. Choose one under 10 MB.,This file is too large. Choose one under 10 MB.,,
10a0bea8-c381-5701-965e-2232f27707b1,accessibility_label,informational chart,Bar chart,Bar chart showing monthly spending,Bar chart showing monthly spending,,
ddd2035a-0bf3-59af-ad65-5437024d92b6,accessibility_label,audio player,Play,Play audio,Play audio,,
58f2f406-27fc-58a7-89d9-8234409d8d57,destructive_confirmation,account settings,Delete?,Permanently delete your account? All data will be lost.,Permanently delete your account? All your data will be removed and can't be recovered.,,
ab3d9aa3-5666-5f07-8eb2-bb646cfbe9b2,form_label,permissions request,Permissions,Allow access to your calendar to schedule meetings.,App access needed,,
29a4b843-9995-5b67-8618-5a2eedbf9aba,inline_error,coupon field,Invalid code,This code expired on {{ date }},This code expired on {{ date }}. Browse current deals.,,
0276a5ce-3bad-5178-ab00-4cd22952467f,destructive_confirmation,billing,Cancel now?,"Cancel subscription? You'll keep access until the period ends, then it renews off.","Cancel your $12/month plan? You'll keep access until {{ period_end }}, then lose it.",,
f13e08bd-99dd-5ed2-9878-6ac12c1cae5f,notification,account page,Your Profile Has Been Updated!,Profile updated,Profile updated,,
53d96d74-510b-5d91-aaeb-4b4e62a63d51,button,API console,Generate,Generate key,Generate key,,
49f9f780-f2a3-5e92-8c6b-05afd9ec6bb8,destructive_confirmation,team admin,Remove user?,Remove {{ member_name }} from the team? They'll lose access to all shared projects right away.,Remove {{ member_name }} from the team? They'll lose access right away.,,
ba665399-4eda-5402-adf6-70976d34077b,form_label,account profile,Preferred pronouns,Pronouns,Pronouns,,
e93ff565-ffa2-512b-a838-e6f0ef6784bc,form_label,payment form,Exp,Expiration date,Expiration date,,
7267fe87-c6f6-5423-8d8a-cea41121e1ca,button,icon-only toolbar,Trash,Delete draft,Discard draft,,
b6b65bc8-89a7-5a3a-9298-9970cafc8a47,notification,document sharing,Success!,Share request sent. They'll get a link to view the file.,Share request sent. We'll let you know when they accept it.,,
83a95cc2-ffdf-5591-b71a-3ad22dd25037,button,settings helper,More info,Show setup help,Show settings help,,
79d40f4a-6bc1-5b82-9277-4102f0cd7fc3,system_error,billing settings,Oopsie! We hit a snag.,We couldn't save your billing details. Check your connection and try again.,We couldn't save your billing details. Check your connection and try again.,,
1c748e29-a79d-502a-bbd7-471cd551c374,notification,import review,There are several rows in the imported file that may require additional review before they can be used.,Review a few rows before using this import,Review rows that need attention before using this file.,,
990f86ad-e26c-50b8-8a63-80a1bb976c1c,notification,calendar,Reminder.,Your team standup starts in 5 minutes.,Your team sync starts in 10 minutes.,,
34b83b13-da37-51c7-80ad-b76605d2b2db,system_error,comprehension survey,Confusing.,This message was hard to understand.,Users misunderstood a payment error,,
99de9f25-5d66-5a40-b4e9-e4541ae0dfcc,onboarding,prototype setup,Complete configuration to proceed.,Set up your prototype,Set up your first project to test this flow.,,
c5bd8d6d-ab96-5984-a4f1-365bb4312343,onboarding,identity form,SIN,Social insurance number,Social insurance number,,
2894e128-665a-5495-b77b-0ccd47d4bb13,destructive_confirmation,files,Proceed,Delete shared file? Everyone with the link will lose access.,Delete shared file? Everyone with the link will lose access.,,
15564122-6677-52f6-ae80-88cdf8cff59c,form_label,billing form,Code?,Promo code,Promo code,,
34094207-d442-53d3-908b-06ef5f1f08ed,system_error,invoice payment,There was a problem.,Payment failed. Check your details and try again.,Payment failed. Check your details and try again.,,
fd604972-e6a0-5184-97d8-a4708003994d,notification,background upload,Working...,Uploading file,Uploading file,,
6a149215-0bbb-5e17-914e-498acc02df61,button,accounting dashboard,Get data,Export report,Export CSV,,
e3ca30fe-4383-5de6-ba7f-1ac984bd2947,button,support article,More,Show related articles,View related articles,,
7b002a03-e773-5daa-8685-c9ea6727b255,inline_error,required setup field,Missing.,Enter your email address,Add your email to continue,,
7b1fb7b1-83ba-5d98-b865-39f3f62effd2,empty_state,broken link page,404,This page isn't available. Go back to where you were.,We can't find this page. Check the link or go back home.,,
5510b6a4-32f1-52b8-a7ad-87cb78795a47,button,desktop settings,Activate functionality,Enable notifications,Enable notifications,,
8188072c-d8e4-57e3-ac5b-0f4ed29ec554,onboarding,identity verification,Enter your personal info.,Share your legal name and date of birth to verify your identity.,Share your legal name and date of birth to verify your identity.,,
ed9d8030-71f7-53d5-a600-6d568d05ee77,empty_state,audit log,Empty log.,No activity yet. Actions on this account will appear here.,No audit events yet. They'll appear here as your team uses the app.,,
01d43083-df42-59c2-9f67-cc1ccd5ca58c,empty_state,order history,No order entities.,No orders yet,No orders yet,,
1eaca523-bf24-5702-aabd-76c52f3ea07a,destructive_confirmation,account settings,Are you sure?,Delete account? You'll lose access to all your data immediately.,Delete account? Your profile and data will be removed. This can't be undone.,,
20e9769c-2bbd-5e74-9b1b-88b42556e35f,button,subscription page,Plans,Compare plans,Compare plans,,
43a73793-86bb-54d0-bb5e-9dd7c62026d4,accessibility_label,external link,Click here,Read the return policy,Read WCAG guidelines on the W3C site,,
73008119-3ff8-51c2-b133-8d1ffc40788a,inline_error,card field,Bad card,Enter a full card number,Enter a valid card number,,
