id,option_A_model,option_B_model,gold_reference
e6f12ec5-4afd-5f6d-8f6f-b5dbb4afe45e,1b,1a,Choose a project name first. You can add details later.
181fdd5e-fad0-513e-bd4f-101465c8e62f,1b,1a,You've used 90% of your storage. Free up space or upgrade.
591b5bf2-55ae-57b6-9d3e-52bcb0ab0d9e,1a,1b,How likely are you to recommend us?
28152527-45ae-5422-81d6-b1f1a1838d66,1a,1b,No products to import yet. You can add products after setup.
b4566a23-3cc0-5f3b-b1d8-0bb70ec71b77,1a,1b,Password must be at least 8 characters
868b76f2-dbc0-5526-b052-8b868cda7672,1b,1a,Create your first project to deploy in minutes.
54289596-c5e1-542c-8e09-6f667967af37,1a,1b,We couldn't sync your changes. Retry when you're back online.
10b80790-bb8a-5123-a7f6-baf2ebd5ad1f,1a,1b,You don't have access to this workspace. Ask an admin for permission.
41bcb356-3dfa-5e36-83bf-651442d904cf,1a,1b,We need your consent to continue. Review what we collect and why.
06369d52-7263-5002-b138-9060bd742e12,1b,1a,Choose file
fe60c2d3-5a73-5692-a092-7aa7d4efa601,1b,1a,No tasks yet. Add a task to start planning work.
bbcac642-882a-57ed-abb5-61b906ba129a,1a,1b,"Use only letters, numbers, and underscores"
e76ea160-fd61-5a73-a1a5-9b774ef9a793,1b,1a,Your order shipped. Track it anytime from Orders.
268cf8df-6d49-5e83-8500-2219c514a322,1b,1a,We couldn't save your changes. Check your connection and try again.
29832314-2c74-531d-b578-847d495a72f1,1b,1a,Email address
92df3263-d0e0-5b56-8557-69c05353aa78,1a,1b,We couldn't save your changes. Try again.
b57db7a7-4a80-5a0e-bf00-6dda2dda713b,1b,1a,Pick a goal so we can tailor your plan.
97ba8a78-4f0a-5ca2-aa42-817de18b142a,1b,1a,No messages yet. Start a conversation to connect with your team.
a0b9532b-48c4-5557-bcce-9cc4ac2d274d,1a,1b,No transactions yet. They'll appear here after your first payment.
9eec4d2a-166a-5cde-b4c3-dcb9100adfb6,1b,1a,Postal code
97ce225c-c8d8-55ed-b65a-a70d21cc9f49,1a,1b,Download monthly report
8c8a511c-167a-5a7c-852b-b2c2f237979b,1b,1a,We can't load your workspace right now. Reload or check your connection.
3a451b9e-4385-56ef-8555-bad4476866c3,1b,1a,Upload stopped. Check your connection and try again.
03b70045-3d07-517c-a874-096788ca343d,1a,1b,Connect your email to see all your inboxes in one place.
93e970e7-1fd4-5df0-ae77-7780d79f3adb,1b,1a,Open reader view
2003b341-f90d-5d54-bc84-83cc8d60cdaf,1a,1b,Set up your workspace in a few steps.
5fb3f28b-e961-5edb-af4e-a7a017c525ea,1b,1a,Start with your workspace name. You can add details later.
2502e0c1-4804-5e1b-85ab-faf5060ca029,1b,1a,File must be under 10 MB
10a0bea8-c381-5701-965e-2232f27707b1,1b,1a,Monthly spending by category
ddd2035a-0bf3-59af-ad65-5437024d92b6,1a,1b,Play episode
58f2f406-27fc-58a7-89d9-8234409d8d57,1b,1a,Delete your account? This erases all data and can't be undone.
ab3d9aa3-5666-5f07-8eb2-bb646cfbe9b2,1a,1b,"Store access, used to sync product details"
29a4b843-9995-5b67-8618-5a2eedbf9aba,1a,1b,This code expired. Try a current one.
0276a5ce-3bad-5178-ab00-4cd22952467f,1b,1a,Cancel subscription? Your team keeps access until the billing period ends.
f13e08bd-99dd-5ed2-9878-6ac12c1cae5f,1a,1b,Profile updated
53d96d74-510b-5d91-aaeb-4b4e62a63d51,1b,1a,Create API key
49f9f780-f2a3-5e92-8c6b-05afd9ec6bb8,1a,1b,Remove Jordan? They'll lose access to all shared projects.
ba665399-4eda-5402-adf6-70976d34077b,1b,1a,Pronouns
e93ff565-ffa2-512b-a838-e6f0ef6784bc,1b,1a,Expiration date (MM/YY)
7267fe87-c6f6-5423-8d8a-cea41121e1ca,1a,1b,Delete draft
b6b65bc8-89a7-5a3a-9298-9970cafc8a47,1b,1a,Invitation sent
83a95cc2-ffdf-5591-b71a-3ad22dd25037,1b,1a,Show setup tips
79d40f4a-6bc1-5b82-9277-4102f0cd7fc3,1a,1b,We couldn't save your billing changes. Try again.
1c748e29-a79d-502a-bbd7-471cd551c374,1b,1a,Some imported rows need review
990f86ad-e26c-50b8-8a63-80a1bb976c1c,1a,1b,Your meeting with Sales starts in 10 minutes
34b83b13-da37-51c7-80ad-b76605d2b2db,1b,1a,Users thought payment was complete. Rewrite the error to explain the failed charge.
99de9f25-5d66-5a40-b4e9-e4541ae0dfcc,1b,1a,Set up the prototype to test the first flow.
c5bd8d6d-ab96-5984-a4f1-365bb4312343,1b,1a,Social insurance number
2894e128-665a-5495-b77b-0ccd47d4bb13,1b,1a,Delete shared file? People with access won't be able to open it.
15564122-6677-52f6-ae80-88cdf8cff59c,1a,1b,Promo code (optional)
34094207-d442-53d3-908b-06ef5f1f08ed,1b,1a,Payment didn't go through. Check the payment method and try again.
fd604972-e6a0-5184-97d8-a4708003994d,1a,1b,Uploading file
6a149215-0bbb-5e17-914e-498acc02df61,1a,1b,Export report
e3ca30fe-4383-5de6-ba7f-1ac984bd2947,1a,1b,Read troubleshooting steps
7b002a03-e773-5daa-8685-c9ea6727b255,1a,1b,Store URL is required to continue setup.
7b1fb7b1-83ba-5d98-b865-39f3f62effd2,1a,1b,Page not found. Search or go back to the homepage.
5510b6a4-32f1-52b8-a7ad-87cb78795a47,1a,1b,Turn on notifications
8188072c-d8e4-57e3-ac5b-0f4ed29ec554,1a,1b,We use this to verify your identity before sharing account details.
ed9d8030-71f7-53d5-a600-6d568d05ee77,1a,1b,No activity in the last 30 days.
01d43083-df42-59c2-9f67-cc1ccd5ca58c,1a,1b,No orders yet. Completed purchases will appear here.
1eaca523-bf24-5702-aabd-76c52f3ea07a,1a,1b,Delete account? You'll lose all data and this can't be undone.
20e9769c-2bbd-5e74-9b1b-88b42556e35f,1a,1b,Compare plans
43a73793-86bb-54d0-bb5e-9dd7c62026d4,1a,1b,Read privacy policy
73008119-3ff8-51c2-b133-8d1ffc40788a,1b,1a,Enter all 16 digits of your card number
